A new study created in memory with name: music classifier
Start optimization.
Trial 0 finished with value: 42.857142857142854 and parameters: {'lr': 0.026609148580802166, 'warmup_factor': 23.600396167608295, 'optimizer': 'Adam', 'sched_factor': 0.5089425966021055, 'patience': 2, 'warmup_ephocs': 5, 'ephocs': 10}. Best is trial 0 with value: 42.857142857142854.
Trial 1 finished with value: 7.462686567164178 and parameters: {'lr': 0.0001314156596093346, 'warmup_factor': 25.79762388725589, 'optimizer': 'SGD', 'sched_factor': 0.6386856203846158, 'patience': 2, 'warmup_ephocs': 3, 'ephocs': 27}. Best is trial 0 with value: 42.857142857142854.
Trial 2 finished with value: 37.73987206823028 and parameters: {'lr': 1.190671644389715e-05, 'warmup_factor': 238.51202572403648, 'optimizer': 'Adam', 'sched_factor': 0.49937799337800026, 'patience': 2, 'warmup_ephocs': 3, 'ephocs': 19}. Best is trial 0 with value: 42.857142857142854.
Trial 3 finished with value: 46.05543710021322 and parameters: {'lr': 0.01475230662556759, 'warmup_factor': 50.098847898265525, 'optimizer': 'SGD', 'sched_factor': 0.1931998127145076, 'patience': 2, 'warmup_ephocs': 5, 'ephocs': 30}. Best is trial 3 with value: 46.05543710021322.
Trial 4 finished with value: 38.80597014925373 and parameters: {'lr': 0.010970302644060863, 'warmup_factor': 238.59857058403088, 'optimizer': 'RMSprop', 'sched_factor': 0.11345091756961811, 'patience': 4, 'warmup_ephocs': 5, 'ephocs': 13}. Best is trial 3 with value: 46.05543710021322.
Trial 5 finished with value: 28.57142857142857 and parameters: {'lr': 0.014475705444360571, 'warmup_factor': 48.26729475849224, 'optimizer': 'SGD', 'sched_factor': 0.6680833572867136, 'patience': 3, 'warmup_ephocs': 5, 'ephocs': 14}. Best is trial 3 with value: 46.05543710021322.
Trial 6 finished with value: 39.01918976545842 and parameters: {'lr': 0.005814789571062113, 'warmup_factor': 35.39672668956614, 'optimizer': 'RMSprop', 'sched_factor': 0.7811386228563872, 'patience': 1, 'warmup_ephocs': 2, 'ephocs': 28}. Best is trial 3 with value: 46.05543710021322.
Trial 7 finished with value: 13.00639658848614 and parameters: {'lr': 2.9506675147421573e-05, 'warmup_factor': 88.1336560000897, 'optimizer': 'SGD', 'sched_factor': 0.5169835618197375, 'patience': 3, 'warmup_ephocs': 3, 'ephocs': 11}. Best is trial 3 with value: 46.05543710021322.
Trial 8 finished with value: 8.955223880597014 and parameters: {'lr': 0.0017354088732849432, 'warmup_factor': 10.032131957424985, 'optimizer': 'SGD', 'sched_factor': 0.14518079692293562, 'patience': 1, 'warmup_ephocs': 2, 'ephocs': 16}. Best is trial 3 with value: 46.05543710021322.
Trial 9 finished with value: 39.44562899786781 and parameters: {'lr': 1.4437048636509224e-05, 'warmup_factor': 203.06507812156417, 'optimizer': 'Adam', 'sched_factor': 0.5539876923955913, 'patience': 4, 'warmup_ephocs': 4, 'ephocs': 30}. Best is trial 3 with value: 46.05543710021322.
Trial 10 finished with value: 43.28358208955223 and parameters: {'lr': 0.06620223852729126, 'warmup_factor': 713.345817748531, 'optimizer': 'SGD', 'sched_factor': 0.27799241959686727, 'patience': 6, 'warmup_ephocs': 4, 'ephocs': 24}. Best is trial 3 with value: 46.05543710021322.
Trial 11 finished with value: 39.872068230277186 and parameters: {'lr': 0.0925430051559413, 'warmup_factor': 814.8982554825075, 'optimizer': 'SGD', 'sched_factor': 0.2825010949595503, 'patience': 6, 'warmup_ephocs': 4, 'ephocs': 24}. Best is trial 3 with value: 46.05543710021322.
